"DC000000","Đỗ Thùy Linh","https://vicare.vn/danh-sach/bac-si/do-thuy-linh-45793/y-hoc-co-truyen",
"DC000001","Hồ Bá Dũng","https://vicare.vn/danh-sach/bac-si/ho-ba-dung-46425/kham-benh",
"DC000002","Nguyễn Thị Hương Giang","https://vicare.vn/danh-sach/bac-si/nguyen-thi-huong-giang-44423/duoc",
"DC000003","Vũ Thị Kim Chi","https://vicare.vn/danh-sach/bac-si/vu-thi-kim-chi-44425/duoc",
"DC000004","Đàm Văn Mạnh","https://vicare.vn/danh-sach/bac-si/dam-van-manh-47804/hoi-suc-cap-cuu",
"DC000005","Tiêu Thị Thanh","https://vicare.vn/danh-sach/bac-si/tieu-thi-thanh-44098/y-hoc-co-truyen",
"DC000006","Phan Phúc Nghị","https://vicare.vn/danh-sach/bac-si/phan-phuc-nghi-46416/y-hoc-co-truyen",
"DC000007","Trần Thị Hạnh Nhân","https://vicare.vn/danh-sach/bac-si/tran-thi-hanh-nhan-46409/san-phu-khoa",
"DC000008","Đoàn Văn Hải","https://vicare.vn/danh-sach/bac-si/doan-van-hai-45780/y-hoc-co-truyen",
"DC000009","Vũ Quang Hưng","https://vicare.vn/danh-sach/bac-si/vu-quang-hung-48896/rang-ham-mat",
"DC000010","Trịnh Minh Thế","https://vicare.vn/danh-sach/bac-si/trinh-minh-the-30535/gay-me-hoi-suc",
"DC000011","Lê Quốc Thanh","https://vicare.vn/danh-sach/bac-si/le-quoc-thanh-45072/noi-co-xuong-khop",
"DC000012","Lê Trát Công Minh","https://vicare.vn/danh-sach/bac-si/le-trat-cong-minh-45784/y-hoc-co-truyen",
"DC000013","Đinh Mạnh Cường","https://vicare.vn/danh-sach/bac-si/dinh-manh-cuong-44662/nhan-khoa",
"DC000014","Trần Thị Hằng","https://vicare.vn/danh-sach/bac-si/tran-thi-hang-44644/kham-benh",
"DC000015","Phùng Đức Phú","https://vicare.vn/danh-sach/bac-si/phung-duc-phu-44658/ho-hap",
"DC000016","Lê Văn Khánh","https://vicare.vn/danh-sach/bac-si/le-van-khanh-25952/noi-tim-mach",
"DC000017","Lô Văn Tường","https://vicare.vn/danh-sach/bac-si/lo-van-tuong-44651/ngoai-co-xuong-khop",
"DC000018","Vũ Ngọc Anh","https://vicare.vn/danh-sach/bac-si/vu-ngoc-anh-26211/kham-benh",
"DC000019","Phạm Thị Hằng","https://vicare.vn/danh-sach/bac-si/pham-thi-hang-44660/rang-ham-mat",
"DC000020","Nguyễn Văn Minh","https://vicare.vn/danh-sach/bac-si/nguyen-van-minh-44661/tai-mui-hong",
"DC000021","Nguyễn Văn Lục","https://vicare.vn/danh-sach/bac-si/nguyen-van-luc-25958/truyen-nhiem",
"DC000022","Vũ Hạnh Nguyên","https://vicare.vn/danh-sach/bac-si/vu-hanh-nguyen-43872/kham-benh",
"DC000023","Nguyễn Đắc Hợi","https://vicare.vn/danh-sach/bac-si/nguyen-dac-hoi-48895/noi-co-xuong-khop",
"DC000024","Huỳnh Kim Lâm","https://vicare.vn/danh-sach/bac-si/huynh-kim-lam-45767/y-hoc-co-truyen",
"DC000025","Hoàng Văn Thế","https://vicare.vn/danh-sach/bac-si/hoang-van-the-25965/chan-doan-hinh-anh",
"DC000026","Trần Thị Thanh Phương","https://vicare.vn/danh-sach/bac-si/tran-thi-thanh-phuong-26240/duoc",
"DC000027","Nguyễn Thị Mộng Trinh","https://vicare.vn/danh-sach/bac-si/nguyen-thi-mong-trinh-44427/y-hoc-co-truyen",
"DC000028","Vũ Quang Hưng","https://vicare.vn/danh-sach/bac-si/vu-quang-hung-48896/rang-ham-mat",
"DC000029","Trần Thị Thu Hường","https://vicare.vn/danh-sach/bac-si/tran-thi-thu-huong-26156/hoi-suc-cap-cuu",
"DC000030","Nguyễn Thị Ngọc","https://vicare.vn/danh-sach/bac-si/nguyen-thi-ngoc-39801/duoc",
"DC000031","Nguyễn Văn Lượng","https://vicare.vn/danh-sach/bac-si/nguyen-van-luong-39811/y-hoc-co-truyen",
"DC000032","Hoàng Văn Hùng","https://vicare.vn/danh-sach/bac-si/hoang-van-hung-44664/chan-doan-hinh-anh",
"DC000033","Vũ Văn Cường","https://vicare.vn/danh-sach/bac-si/vu-van-cuong-44646/hoi-suc-cap-cuu",
"DC000034","Đào Trọng Luyện","https://vicare.vn/danh-sach/bac-si/dao-trong-luyen-26214/than-tiet-nieu",
"DC000035","Vũ Quang Hưng","https://vicare.vn/danh-sach/bac-si/vu-quang-hung-48896/rang-ham-mat",
"DC000036","Nguyễn Đắc Hợi","https://vicare.vn/danh-sach/bac-si/nguyen-dac-hoi-48895/noi-co-xuong-khop",
"DC000037","Nguyễn Thị Thu Thuỷ","https://vicare.vn/danh-sach/bac-si/nguyen-thi-thu-thuy-26181/truyen-nhiem",
"DC000038","Nông Thị Bình","https://vicare.vn/danh-sach/bac-si/nong-thi-binh-44656/truyen-nhiem",
"DC000039","Vũ Trọng Minh","https://vicare.vn/danh-sach/bac-si/vu-trong-minh-25956/gay-me-hoi-suc",
"DC000040","Nguyễn Thành Công","https://vicare.vn/danh-sach/bac-si/nguyen-thanh-cong-39800/chan-doan-hinh-anh",
"DC000041","Doãn Văn Vân","https://vicare.vn/danh-sach/bac-si/doan-van-van-39810/truyen-nhiem",
"DC000042","Lương Văn Huế","https://vicare.vn/danh-sach/bac-si/luong-van-hue-44645/hoi-suc-cap-cuu",
"DC000043","Nguyễn Hải Quân","https://vicare.vn/danh-sach/bac-si/nguyen-hai-quan-39804/noi-tong-hop",
"DC000044","Đào Xuân Trường","https://vicare.vn/danh-sach/bac-si/dao-xuan-truong-39799/xet-nghiem",
"DC000045","Hà Vũ Thành","https://vicare.vn/danh-sach/bac-si/ha-vu-thanh-44640/tham-do-chuc-nang",
"DC000046","Phạm Thị Bích Hằng","https://vicare.vn/danh-sach/bac-si/pham-thi-bich-hang-44667/duoc",
"DC000047","Nguyễn Văn Cường","https://vicare.vn/danh-sach/bac-si/nguyen-van-cuong-39812/kiem-soat-nhiem-khuan",
"DC000048","Nguyễn Thị Hoa","https://vicare.vn/danh-sach/bac-si/nguyen-thi-hoa-39809/hoi-suc-cap-cuu",
"DC000049","Nguyễn Đắc Hợi","https://vicare.vn/danh-sach/bac-si/nguyen-dac-hoi-48895/noi-co-xuong-khop",
"DC000050","Nguyễn Thị Hạnh","https://vicare.vn/danh-sach/bac-si/nguyen-thi-hanh-41183/nhi",
"DC000051","Lê Minh Hoàng","https://vicare.vn/danh-sach/bac-si/le-minh-hoang-44085/chua-ro",
"DC000052","Nguyễn Xuân Tràng","https://vicare.vn/danh-sach/bac-si/nguyen-xuan-trang-38257/tam-than",
"DC000053","Phí Thị Thành","https://vicare.vn/danh-sach/bac-si/phi-thi-thanh-26231/dinh-duong",
"DC000054","Bắc","https://vicare.vn/danh-sach/bac-si/bac-27251/vat-ly-tri-lieu-phuc-hoi-chuc-nang",
"DC000055","Nguyễn Thị Tuyết","https://vicare.vn/danh-sach/bac-si/nguyen-thi-tuyet-26827/duoc",
"DC000056","Nguyễn Viết Cam","https://vicare.vn/danh-sach/bac-si/nguyen-viet-cam-7020/y-hoc-co-truyen",
"DC000057","Nguyễn Thanh Liêm","https://vicare.vn/danh-sach/bac-si/nguyen-thanh-liem-359/noi-co-xuong-khop",
"DC000058","Đặng Thị Nghĩa","https://vicare.vn/danh-sach/bac-si/dang-thi-nghia-380/san-phu-khoa",
"DC000059","Nguyễn Minh Nguyệt","https://vicare.vn/danh-sach/bac-si/nguyen-minh-nguyet-381/san-phu-khoa",
"DC000060","Nguyễn Thị Tân Sinh","https://vicare.vn/danh-sach/bac-si/nguyen-thi-tan-sinh-653/san-phu-khoa",
"DC000061","Mai Trọng Hưng","https://vicare.vn/danh-sach/bac-si/mai-trong-hung-1398/san-phu-khoa",
"DC000062","Mai Hữu Tuyền","https://vicare.vn/danh-sach/bac-si/mai-huu-tuyen-1481/tham-my",
"DC000063","Nguyễn Minh Phúc","https://vicare.vn/danh-sach/bac-si/nguyen-minh-phuc-1482/tham-my",
"DC000064","Nguyễn Thị Thúy Hà","https://vicare.vn/danh-sach/bac-si/nguyen-thi-thuy-ha-8540/san-phu-khoa",
"DC000065","Bùi Tuyết Mai","https://vicare.vn/danh-sach/bac-si/bui-tuyet-mai-249/da-lieu",
"DC000066","Bùi Thị Ân","https://vicare.vn/danh-sach/bac-si/bui-thi-an-6928/da-lieu",
"DC000067","Vũ Ngọc Lâm","https://vicare.vn/danh-sach/bac-si/vu-ngoc-lam-6930/phau-thuat-tham-my",
"DC000068","Vũ Anh Kính","https://vicare.vn/danh-sach/bac-si/vu-anh-kinh-6931/gay-me-hoi-suc",
"DC000069","Nguyễn Thế Khanh","https://vicare.vn/danh-sach/bac-si/nguyen-the-khanh-6933/nha-khoa-tham-my",
"DC000070","Cao Ngọc Duy","https://vicare.vn/danh-sach/bac-si/cao-ngoc-duy-7761/tham-my",
"DC000071","Bùi Minh Thìn","https://vicare.vn/danh-sach/bac-si/bui-minh-thin-7246/tham-my",
"DC000072","Trần Thu Nga","https://vicare.vn/danh-sach/bac-si/tran-thu-nga-7248/tham-my",
"DC000073","Nguyễn Thị Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-thi-hien-7249/da-lieu",
"DC000074","Nguyễn Hoàng Hà","https://vicare.vn/danh-sach/bac-si/nguyen-hoang-ha-7077/tham-my",
"DC000075","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000076","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000077","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000078","Nguyễn Phương Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-phuong-thao-1158/da-lieu",
"DC000079","Lê Phi Long","https://vicare.vn/danh-sach/bac-si/le-phi-long-6947/phau-thuat-tham-my",
"DC000080","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000081","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000082","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000083","Đào Thị Xuân","https://vicare.vn/danh-sach/bac-si/dao-thi-xuan-1554/gay-me-hoi-suc",
"DC000084","Nguyễn Thanh Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-thanh-thao-15829/tham-my",
"DC000085","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000086","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000087","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000088","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000089","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000090","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000091","Nguyễn Phương Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-phuong-thao-797/phau-thuat-tham-my",
"DC000092","Tạ Xuân Sơn","https://vicare.vn/danh-sach/bac-si/ta-xuan-son-1221/ngoai-co-xuong-khop",
"DC000093","Nguyễn Trần Hạnh Uyên","https://vicare.vn/danh-sach/bac-si/nguyen-tran-hanh-uyen-1222/da-lieu",
"DC000094","Đào Thị Xuân","https://vicare.vn/danh-sach/bac-si/dao-thi-xuan-1554/gay-me-hoi-suc",
"DC000095","E. Victor Ross","https://vicare.vn/danh-sach/bac-si/e-victor-ross-790/da-lieu",
"DC000096","Robert Glen Calderhead","https://vicare.vn/danh-sach/bac-si/robert-glen-calderhead-4569/tham-my",
"DC000097","Shimon Eckhouse","https://vicare.vn/danh-sach/bac-si/shimon-eckhouse-7016/da-lieu",
"DC000098","Trần Anh Tân","https://vicare.vn/danh-sach/bac-si/tran-anh-tan-34827/tham-my",
"DC000099","Nguyễn Phương Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-phuong-thao-1158/da-lieu",
"DC000100","Bùi Tuyết Mai","https://vicare.vn/danh-sach/bac-si/bui-tuyet-mai-249/da-lieu",
"DC000101","Nguyễn Thanh Liêm","https://vicare.vn/danh-sach/bac-si/nguyen-thanh-liem-359/noi-co-xuong-khop",
"DC000102","Đặng Thị Nghĩa","https://vicare.vn/danh-sach/bac-si/dang-thi-nghia-380/san-phu-khoa",
"DC000103","Nguyễn Minh Nguyệt","https://vicare.vn/danh-sach/bac-si/nguyen-minh-nguyet-381/san-phu-khoa",
"DC000104","Nguyễn Thị Tân Sinh","https://vicare.vn/danh-sach/bac-si/nguyen-thi-tan-sinh-653/san-phu-khoa",
"DC000105","Mai Trọng Hưng","https://vicare.vn/danh-sach/bac-si/mai-trong-hung-1398/san-phu-khoa",
"DC000106","Mai Hữu Tuyền","https://vicare.vn/danh-sach/bac-si/mai-huu-tuyen-1481/tham-my",
"DC000107","Nguyễn Minh Phúc","https://vicare.vn/danh-sach/bac-si/nguyen-minh-phuc-1482/tham-my",
"DC000108","Nguyễn Thị Thúy Hà","https://vicare.vn/danh-sach/bac-si/nguyen-thi-thuy-ha-8540/san-phu-khoa",
"DC000109","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000110","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000111","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000112","Lại Bình Nguyên","https://vicare.vn/danh-sach/bac-si/lai-binh-nguyen-3305/nha-khoa-tham-my",
"DC000113","Trần Thị Hương","https://vicare.vn/danh-sach/bac-si/tran-thi-huong-7518/y-hoc-co-truyen",
"DC000114","Nguyễn Thị Lâm","https://vicare.vn/danh-sach/bac-si/nguyen-thi-lam-6990/dinh-duong",
"DC000115","Vũ Ngọc Quý","https://vicare.vn/danh-sach/bac-si/vu-ngoc-quy-6992/da-lieu",
"DC000116","Vương Thế Bích Thanh","https://vicare.vn/danh-sach/bac-si/vuong-the-bich-thanh-6996/da-lieu",
"DC000117","Nguyễn Tâm Anh","https://vicare.vn/danh-sach/bac-si/nguyen-tam-anh-6997/da-lieu",
"DC000118","Trương Quốc Chính","https://vicare.vn/danh-sach/bac-si/truong-quoc-chinh-6998/y-hoc-co-truyen",
"DC000119","Nguyễn Quang Minh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-minh-6999/da-lieu",
"DC000120","Harold Ma","https://vicare.vn/danh-sach/bac-si/harold-ma-7010/tham-my",
"DC000121","Han Dae Sik","https://vicare.vn/danh-sach/bac-si/han-dae-sik-7012/phau-thuat-tham-my",
"DC000122","Trần Văn Trường","https://vicare.vn/danh-sach/bac-si/tran-van-truong-19874/da-lieu",
"DC000123","Michael Byers","https://vicare.vn/danh-sach/bac-si/michael-byers-19879/da-lieu",
"DC000124","Mitch Deshon","https://vicare.vn/danh-sach/bac-si/mitch-deshon-19882/da-lieu",
"DC000125","Robert Vernon Nussbaum","https://vicare.vn/danh-sach/bac-si/robert-vernon-nussbaum-19995/tham-my",
"DC000126","Hồng Nhung","https://vicare.vn/danh-sach/bac-si/hong-nhung-7354/tham-my",
"DC000127","Scorlett Johanson","https://vicare.vn/danh-sach/bac-si/scorlett-johanson-7355/tham-my",
"DC000128","Kate Berry","https://vicare.vn/danh-sach/bac-si/kate-berry-7356/tham-my",
"DC000129","Nguyễn Trí Đoàn","https://vicare.vn/danh-sach/bac-si/nguyen-tri-doan-798/nhi",
"DC000130","Nguyễn Thị Ngọc Phượng","https://vicare.vn/danh-sach/bac-si/nguyen-thi-ngoc-phuong-6760/san-phu-khoa",
"DC000131","Vũ Thị Thanh Dung","https://vicare.vn/danh-sach/bac-si/vu-thi-thanh-dung-8692/san-phu-khoa",
"DC000132","Nguyễn Bá Mỹ Nhi","https://vicare.vn/danh-sach/bac-si/nguyen-ba-my-nhi-9470/san-phu-khoa",
"DC000133","Vũ Thị Huyền Diệu","https://vicare.vn/danh-sach/bac-si/vu-thi-huyen-dieu-19757/san-khoa",
"DC000134","Nguyễn Quang Thạnh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-thanh-33/gay-me-hoi-suc",
"DC000135","Moon Hyoung Jin","https://vicare.vn/danh-sach/bac-si/moon-hyoung-jin-157/tham-my",
"DC000136","Nguyễn Ánh Hiền","https://vicare.vn/danh-sach/bac-si/nguyen-anh-hien-796/phau-thuat-tham-my",
"DC000137","Nguyễn Phương Thảo","https://vicare.vn/danh-sach/bac-si/nguyen-phuong-thao-797/phau-thuat-tham-my",
"DC000138","Nguyễn Thị Đào","https://vicare.vn/danh-sach/bac-si/nguyen-thi-dao-18132/da-lieu",
"DC000139","Trần Lâm Hùng","https://vicare.vn/danh-sach/bac-si/tran-lam-hung-2581/phau-thuat-tham-my",
"DC000140","Nguyễn Thị Diễm Hằng","https://vicare.vn/danh-sach/bac-si/nguyen-thi-diem-hang-7174/tham-my",
"DC000141","Soong Joong Won","https://vicare.vn/danh-sach/bac-si/soong-joong-won-7194/phau-thuat-tham-my",
"DC000142","Kim Duk Young","https://vicare.vn/danh-sach/bac-si/kim-duk-young-7196/phau-thuat-tham-my",
"DC000143","Leslie Virginia Barrett","https://vicare.vn/danh-sach/bac-si/leslie-virginia-barrett-7197/da-lieu",
"DC000144","Nguyễn Văn An","https://vicare.vn/danh-sach/bac-si/nguyen-van-an-7162/da-lieu",
"DC000145","Nguyễn Thị Lâm","https://vicare.vn/danh-sach/bac-si/nguyen-thi-lam-6990/dinh-duong",
"DC000146","Vũ Ngọc Quý","https://vicare.vn/danh-sach/bac-si/vu-ngoc-quy-6992/da-lieu",
"DC000147","Vương Thế Bích Thanh","https://vicare.vn/danh-sach/bac-si/vuong-the-bich-thanh-6996/da-lieu",
"DC000148","Nguyễn Tâm Anh","https://vicare.vn/danh-sach/bac-si/nguyen-tam-anh-6997/da-lieu",
"DC000149","Trương Quốc Chính","https://vicare.vn/danh-sach/bac-si/truong-quoc-chinh-6998/y-hoc-co-truyen",
"DC000150","Nguyễn Quang Minh","https://vicare.vn/danh-sach/bac-si/nguyen-quang-minh-6999/da-lieu",
"DC000151","Harold Ma","https://vicare.vn/danh-sach/bac-si/harold-ma-7010/tham-my",
